(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(317)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(320)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(321)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(323)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(326)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(328)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(329)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(332)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(334)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(337)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(338)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(339)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(340)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(341)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(343)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(345)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(347)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(348)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(349)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(350)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(351)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(354)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(358)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(360)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(362)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(363)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(366)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(368)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(373)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(376)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(377)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(378)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(379)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(380)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(381)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(382)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(383)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(384)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(385)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(386)), {C=0.0007903055848261328, S=0.0005836008170411438}
